iter	Passed	Remaining
0	138	138541
1	139	69748
2	140	46790
3	141	35309
4	143	28477
5	144	23913
6	145	20699
7	146	18209
8	147	16272
9	148	14720
10	149	13450
11	150	12391
12	151	11501
13	152	10755
14	153	10108
15	154	9523
16	155	9013
17	156	8551
18	157	8138
19	158	7767
20	159	7434
21	160	7133
22	161	6854
23	162	6598
24	163	6363
25	164	6144
26	164	5941
27	165	5758
28	167	5592
29	168	5436
30	169	5293
31	170	5156
32	171	5026
33	172	4903
34	173	4795
35	175	4703
36	177	4607
37	178	4506
38	178	4409
39	179	4317
40	181	4234
41	182	4156
42	183	4080
43	184	4004
44	185	3934
45	186	3866
46	187	3803
47	188	3748
48	190	3704
49	191	3644
50	192	3587
51	193	3531
52	194	3481
53	196	3434
54	197	3386
55	198	3339
56	199	3294
57	200	3249
58	201	3210
59	202	3170
60	204	3143
61	205	3109
62	206	3070
63	207	3032
64	208	2996
65	209	2964
66	210	2933
67	211	2901
68	212	2872
69	213	2842
70	215	2814
71	216	2787
72	217	2764
73	219	2748
74	221	2728
75	222	2702
76	223	2677
77	224	2653
78	225	2631
79	226	2609
80	227	2585
81	228	2563
82	229	2535
83	230	2514
84	231	2494
85	233	2479
86	234	2459
87	235	2438
88	236	2419
89	237	2399
90	238	2381
91	239	2366
92	240	2350
93	241	2332
94	242	2314
95	244	2297
96	245	2281
97	246	2265
98	247	2249
99	248	2235
100	249	2219
101	250	2203
102	251	2189
103	252	2174
104	253	2162
105	255	2150
106	256	2139
107	257	2125
108	258	2113
109	259	2100
110	260	2088
111	261	2074
112	262	2061
113	263	2049
114	264	2037
115	265	2024
116	266	2011
117	267	2000
118	268	1991
119	270	1981
120	271	1972
121	272	1962
122	273	1951
123	274	1940
124	275	1930
125	276	1920
126	277	1909
127	278	1900
128	280	1890
129	281	1880
130	282	1870
131	283	1861
132	284	1854
133	285	1846
134	287	1839
135	288	1830
136	289	1820
137	290	1811
138	291	1802
139	292	1794
140	293	1786
141	293	1775
142	295	1768
143	296	1759
144	297	1752
145	298	1744
146	299	1738
147	300	1731
148	301	1723
149	302	1715
150	303	1707
151	304	1699
152	305	1691
153	306	1684
154	307	1676
155	308	1669
156	309	1662
157	310	1655
158	311	1648
159	312	1641
160	313	1632
161	314	1626
162	315	1620
163	317	1616
164	318	1609
165	319	1603
166	320	1596
167	320	1589
168	321	1583
169	323	1577
170	324	1570
171	325	1565
172	326	1558
173	327	1552
174	328	1546
175	329	1541
176	330	1536
177	331	1531
178	332	1525
179	333	1519
180	334	1513
181	335	1507
182	336	1502
183	337	1496
